id,name,host_id,host name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,Booking_date,reviews_per_month,calculated_host_listings_count,availability_365
2539,Clean   quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,19/10/2018,0.21,6,365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,21/05/2019,0.38,2,355
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,05/07/2019,4.64,1,194
5099,Large Cozy   BR Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,22/06/2019,0.59,1,129
5178,Large Furnished Room Near B way ,8967,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,24/06/2019,3.47,1,220
5238,Cute   Cozy Lower East Side   bdrm,7549,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,09/06/2019,1.33,4,188
5295,Beautiful  br on Upper West Side,7702,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,22/06/2019,0.43,1,6
5441,Central Manhattan near Broadway,7989,Kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,23/06/2019,1.5,1,39
5803,Lovely Room   Garden  Best Area  Legal rental,9744,Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,24/06/2019,1.34,3,314
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,05/07/2019,0.91,1,333
6848,Only   stops to Manhattan studio,15991,Allen   Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,29/06/2019,1.2,1,46
7097,Perfect for Your Parents   Garden,17571,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,28/06/2019,1.72,1,321
7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,01/07/2019,2.12,1,12
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,22/06/2019,4.44,1,21
8024,CBG CtyBGd HelpsHaiti rm ,22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,01/07/2019,1.09,6,347
8025,CBG Helps Haiti Room ,22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,01/01/2019,0.37,6,364
8110,CBG Helps Haiti Rm  ,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,02/07/2019,0.61,6,304
8490,MAISON DES SIRENES bohemian apartment,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,19/06/2019,0.73,2,233
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,23/06/2019,1.37,2,85
9357,Midtown Pied a terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,13/08/2017,0.49,1,75
9518,SPACIOUS  LOVELY FURNISHED MANHATTAN BEDROOM,31374,Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,15/06/2019,1.11,3,311
